annee,departement,age_min,age_max,population
2019,47,50,54,21797
2019,47,55,59,23261
2019,47,60,64,23422
2019,47,65,69,22829
2019,47,70,74,22816
2019,47,75,79,17689
2019,47,80,84,12096
2019,47,85,89,9293
2019,47,90,94,4994
2019,47,95,120,1511
2019,48,0,4,3165
2019,48,5,9,3919
2019,48,10,14,4368
2019,48,15,19,4381
2019,48,20,24,3495
2019,48,25,29,3476
2019,48,30,34,3636
2019,48,35,39,4182
2019,48,40,44,4434
2019,48,45,49,4526
2019,48,50,54,5560
2019,48,55,59,5523
2019,48,60,64,5596
2019,48,65,69,5435
2019,48,70,74,5465
2019,48,75,79,3782
2019,48,80,84,2433
2019,48,85,89,1961
2019,48,90,94,999
2019,48,95,120,312
2019,49,0,4,40863
2019,49,5,9,48813
2019,49,10,14,55091
2019,49,15,19,59109
2019,49,20,24,52378
2019,49,25,29,44199
2019,49,30,34,44748
2019,49,35,39,47913
2019,49,40,44,51630
2019,49,45,49,50230
2019,49,50,54,52782
2019,49,55,59,51340
2019,49,60,64,50178
2019,49,65,69,47446
2019,49,70,74,45438
2019,49,75,79,32542
2019,49,80,84,22241
2019,49,85,89,18123
2019,49,90,94,9964
2019,49,95,120,3241
2019,50,0,4,22122
2019,50,5,9,26001
2019,50,10,14,29477
2019,50,15,19,27256
2019,50,20,24,22572
2019,50,25,29,22042
2019,50,30,34,25495
2019,50,35,39,27369
2019,50,40,44,28366
2019,50,45,49,28542
2019,50,50,54,32530
2019,50,55,59,35064
2019,50,60,64,36187
2019,50,65,69,34696
2019,50,70,74,33520
2019,50,75,79,24046
2019,50,80,84,15645
2019,50,85,89,13174
2019,50,90,94,6692
2019,50,95,120,1846
2019,51,0,4,28911
2019,51,5,9,32512
2019,51,10,14,35178
2019,51,15,19,36909
2019,51,20,24,36995
2019,51,25,29,33048
2019,51,30,34,33327
2019,51,35,39,34248
2019,51,40,44,34189
2019,51,45,49,33836
2019,51,50,54,37198
2019,51,55,59,35799
2019,51,60,64,34335
2019,51,65,69,32064
2019,51,70,74,31991
2019,51,75,79,22332
2019,51,80,84,13955
2019,51,85,89,10453
2019,51,90,94,5171
2019,51,95,120,1657
2019,52,0,4,7021
2019,52,5,9,8575
2019,52,10,14,9390
2019,52,15,19,9020
2019,52,20,24,8313
2019,52,25,29,7852
2019,52,30,34,9191
2019,52,35,39,8909
2019,52,40,44,9301
2019,52,45,49,9550
2019,52,50,54,11105
2019,52,55,59,12028
2019,52,60,64,12297
2019,52,65,69,12069
2019,52,70,74,11628
2019,52,75,79,8381
2019,52,80,84,5635
2019,52,85,89,4270
2019,52,90,94,2280
2019,52,95,120,729
2019,53,0,4,15456
2019,53,5,9,18029
2019,53,10,14,20563
2019,53,15,19,19631
2019,53,20,24,16326
2019,53,25,29,14269
2019,53,30,34,15516
2019,53,35,39,16781
2019,53,40,44,18465
2019,53,45,49,18748
2019,53,50,54,20655
2019,53,55,59,20282
2019,53,60,64,19705
2019,53,65,69,18429
2019,53,70,74,17953
2019,53,75,79,12818
2019,53,80,84,8770
2019,53,85,89,7663
2019,53,90,94,4010
2019,53,95,120,1383
2019,54,0,4,33730
2019,54,5,9,40250
2019,54,10,14,43788
2019,54,15,19,48655
2019,54,20,24,51045
2019,54,25,29,43954
2019,54,30,34,44214
2019,54,35,39,45040
2019,54,40,44,45901
2019,54,45,49,43419
2019,54,50,54,46918
2019,54,55,59,45827
2019,54,60,64,45374
2019,54,65,69,42370
2019,54,70,74,38823
2019,54,75,79,27390
2019,54,80,84,18692
2019,54,85,89,14498
2019,54,90,94,7577
2019,54,95,120,2012
2019,55,0,4,7591
2019,55,5,9,9705
2019,55,10,14,10818
2019,55,15,19,10202
2019,55,20,24,8911
2019,55,25,29,7939
2019,55,30,34,9492
2019,55,35,39,10282
2019,55,40,44,10400
2019,55,45,49,10818
2019,55,50,54,11843
2019,55,55,59,12502
2019,55,60,64,12702
2019,55,65,69,12853
2019,55,70,74,11860
2019,55,75,79,7992
2019,55,80,84,5110
2019,55,85,89,4149
2019,55,90,94,2182
2019,55,95,120,659
2019,56,0,4,34036
2019,56,5,9,41138
2019,56,10,14,46843
2019,56,15,19,44934
2019,56,20,24,36948
2019,56,25,29,32147
2019,56,30,34,36491
2019,56,35,39,42497
2019,56,40,44,46390
2019,56,45,49,47500
2019,56,50,54,53062
2019,56,55,59,53175
2019,56,60,64,56575
2019,56,65,69,55472
2019,56,70,74,54247
2019,56,75,79,39474
2019,56,80,84,24840
2019,56,85,89,19740
2019,56,90,94,9309
2019,56,95,120,2565
2019,57,0,4,49641
2019,57,5,9,58814
2019,57,10,14,61784
2019,57,15,19,60328
2019,57,20,24,56911
2019,57,25,29,56236
2019,57,30,34,63792
2019,57,35,39,68070
2019,57,40,44,68255
2019,57,45,49,64018
2019,57,50,54,70682
2019,57,55,59,74511
2019,57,60,64,72608
2019,57,65,69,66714
2019,57,70,74,58110
2019,57,75,79,37451
2019,57,80,84,29406
